	SRR21726537_dairy1	SRR21726538_dairy2	SRR21726539_dairy3	SRR21726540_dairy4	SRR21726541_dairy5	SRR21726542_dairy6	SRR21726543_dairy7	SRR21726544_dairy8	SRR21726545_meat1	SRR21726546_meat2	SRR21726547_meat3	SRR21726548_meat4	SRR21726549_meat5	SRR21726550_meat6	SRR21726551_meat7	SRR21726552_meat8
ASV_114	0	0	783	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_115	0	0	778	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_116	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_117	0	0	773	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_118	0	0	761	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_119	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_120	0	0	756	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_121	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_122	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_123	0	0	749	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_124	0	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_125	0	0	746	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_126	0	0	738	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_127	0	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_129	0	0	721	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_130	0	0	716	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_131	0	0	715	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_132	0	0	704	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_133	0	0	701	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	684	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_135	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_136	0	0	680	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_137	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_138	0	0	676	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_139	0	0	674	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_140	0	0	674	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_141	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_142	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_143	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_144	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_145	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
